Win,Age,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
22,24,2,19.5,0.568,0.404,0.279,2.1,13.8,7.7,21.7,2,1.3,13.3,31.7,1.8,2.2,4,0.092,3.3,-0.8,2.5,2.4
30,24,3,-16.6,0,0.333,0.667,0,12.3,6,0,0,0,0,18.6,-0.1,0,-0.1,-0.456,-17,-8.2,-25.2,-0.1
19,25,4,10.3,0.544,0.402,0.179,3.4,8.7,6,4.4,1.6,1.6,11.1,17.7,0,0.3,0.3,0.029,-2.7,-1,-3.7,-0.2
39,22,4,13.4,0.463,0.211,0.184,12.7,24.4,18.6,5.5,1.9,1.7,8.9,19.6,0,0.3,0.3,0.07,-2,-0.3,-2.2,0
26,19,1,5,0.46,0.4,0.2,0,0,0,11.1,0,0,8.4,19.4,0,0,0,-0.042,-5.7,-3.6,-9.3,0
40,34,2,10.9,0.629,0.573,0.085,2.2,7.4,4.9,4.7,2.5,1.5,11.4,11.9,0.3,0.4,0.7,0.097,-2.1,1.6,-0.5,0.1
15,27,2,12.7,0.548,0.468,0.247,2.4,16.3,9.1,14.4,1.7,0.4,10.6,19,0.9,0.8,1.7,0.058,-1.5,-0.8,-2.3,-0.1
20,26,5,17.5,0.59,0.215,0.312,9.8,23.6,16.6,8.7,1.3,3.7,11.7,18.6,1.1,0.6,1.8,0.113,-0.2,-0.3,-0.4,0.3
28,26,5,20.3,0.636,0,0.238,19.1,29.3,24.1,5,0.6,8.2,19.2,16.7,0.3,0.2,0.5,0.164,-0.7,0.1,-0.6,0.1
44,28,3,26.8,0.586,0.288,0.357,3.2,19.5,11.6,27,2.6,1.7,10.5,33.1,4.9,3.2,8,0.226,6.5,2.6,9.1,4.8
41,27,5,11.1,0.64,0.534,0.117,3.2,24.1,14.1,7.7,0.6,1.5,13,12.1,1,1.1,2.2,0.105,-1,0.4,-0.6,0.3
30,25,2,15.1,0.507,0.308,0.264,3.8,10.4,7.2,23.9,1.8,0.5,12.7,28.9,-0.1,1.2,1.1,0.047,0.1,-0.8,-0.7,0.4
29,29,1,26,0.618,0.492,0.378,1.5,10.5,6.1,34,1.3,0.8,11,30.2,9,0.7,9.7,0.212,7.8,-0.8,7,4.9
29,19,4,9.6,0.505,0.391,0.291,5.7,13.8,9.8,5.1,1.1,2.1,8.1,13.7,0.3,0.3,0.6,0.05,-2.9,-0.6,-3.5,-0.2
15,23,5,9.4,0.403,0.177,0.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,-0.2,0.2,0,0.005,-4.8,-0.8,-5.5,-0.2
53,31,5,14,0.538,0.497,0.215,2.7,13.1,8.3,7.6,1.2,8.2,9.3,17.5,0.8,3.9,4.7,0.137,-1,2.8,1.8,1.6
53,31,5,11.2,0.571,0.354,0.162,6.3,10.1,8.3,6.5,0.5,4.1,15.9,16.6,0.2,1.5,1.7,0.096,-2.4,0.6,-1.8,0
19,31,4,17.9,0.599,0.536,0.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.2,3.8,0.102,2.6,-0.6,2.1,1.8
46,33,1,18.2,0.592,0.583,0.411,1.7,12.5,7.2,31,1.7,1.1,15,23.2,4.3,2.9,7.2,0.178,2.6,0.8,3.4,2.7
30,24,2,9.8,0.581,0.574,0.324,3.7,10.4,7.1,5.2,1.1,0.7,12.1,16,0.5,0.6,1.2,0.082,-2.5,-0.1,-2.6,-0.1
27,24,4,12.7,0.557,0.49,0.131,6,24.7,15.3,7.3,1.1,1.9,9.7,13.7,1.2,1,2.2,0.082,-0.5,-0.7,-1.2,0.2
41,24,2,-3.1,0.5,0.667,0,0,0,0,9.6,0,0,40,15.8,0,0,0,-0.161,-7,-4.4,-11.4,0
19,24,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.022,-5.1,-1.2,-6.3,0
30,30,1,5.1,0.378,0.267,0.133,2.7,14.6,8.5,19.2,3.9,2.4,23.9,23.8,-0.2,0.1,-0.1,-0.126,-8,1.6,-6.4,0
24,33,5,14.1,0.545,0.124,0.538,10.2,19.9,14.8,8.2,1.8,4.7,14.8,15.7,0.7,0.7,1.4,0.082,-2.7,0,-2.7,-0.2
20,22,5,13.7,0.582,0.332,0.57,7.8,16.7,12.2,8,1.6,4.2,15.7,16.1,0.7,0.8,1.5,0.096,-2,0.7,-1.4,0.1
44,23,2,7.3,0.459,0.22,0.203,2.3,10.7,6.6,18.3,1.5,1.6,17.9,11.6,0,0.4,0.4,0.06,-4.6,1.3,-3.4,-0.1
40,31,5,25.2,0.604,0.085,0.273,17.5,30.7,24.2,6.6,1,1.7,11.7,27.8,0.9,0.5,1.4,0.191,2,-1.8,0.2,0.2
22,22,4,14.3,0.56,0.536,0.259,4.2,19.7,11.6,7.6,1.4,1.5,11,21.1,1.1,1.6,2.6,0.084,0.2,-0.8,-0.5,0.5
23,24,3,12,0.595,0.44,0.25,3.3,10,6.5,11.1,1.9,2,13.9,15,0.3,0.2,0.5,0.081,-1.6,0.5,-1,0.1
23,24,3,10.5,0.505,0.372,0.314,4.4,15.1,9.6,15.7,2.2,0.9,15.7,13.6,0.2,0.8,1,0.052,-3.1,1,-2.1,0
30,23,1,9.8,0.346,0.462,0,0,16.1,8.3,24.1,3.8,3.3,7.1,23.4,-0.1,0.1,0,-0.032,-5.9,2.4,-3.6,0
19,24,3,9.2,0.506,0.53,0.171,2.5,18.6,10.2,6.8,0.7,1.5,9.3,17.8,-0.1,0.3,0.2,0.023,-3.3,-1,-4.3,-0.3
53,25,1,4.2,0.337,0.526,0.211,6,8.8,7.5,25.7,1.7,0,22.4,20.8,-0.2,0.1,-0.1,-0.06,-7.5,-0.9,-8.4,-0.1
24,23,2,13.1,0.691,0.821,0.607,2.8,9.1,5.8,5.8,1.6,0.4,10.1,14.5,0.6,0,0.6,0.129,-0.5,-0.6,-1.1,0.1
53,33,2,8.4,0.546,0.695,0.162,1.4,8.3,5.1,7.3,1.1,0.5,8.6,12.7,0.8,2.4,3.2,0.099,-2.5,0.8,-1.7,0.1
46,24,3,7.3,0.5,0.438,0.111,2.3,7.6,5,11.4,2,0.4,14.6,9.4,0.2,1.2,1.4,0.075,-3.6,1.8,-1.8,0
