Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
300,Timothé Luwawu-Cabarrot\luwawti01,SG,24,BRK,40,0,692,5.9,14,0.422,3,8,0.376,2.9,6,0.483,3.8,4.5,0.833,1.6,4.9,6.5,1.7,1.1,0.4,2.2,5.8,18.6
301,Trey Lyles\lylestr01,PF,24,SAS,63,53,1271,5.8,12.9,0.446,2.5,6.3,0.387,3.3,6.6,0.503,1.2,1.7,0.733,2.7,10.9,13.6,2.6,1.1,1.1,1.5,3.7,15.2
302,Daryl Macon\maconda01,SG,24,MIA,4,0,14,3.5,10.5,0.333,3.5,7,0.5,0,3.5,0,0,0,,0,0,0,3.5,0,0,7,3.5,10.5
303,J.P. Macura\macurjp01,SG,24,CLE,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
304,Josh Magette\magetjo01,PG,30,ORL,8,0,38,6.4,19.3,0.333,1.3,5.1,0.25,5.1,14.1,0.364,1.3,2.6,0.5,1.3,6.4,7.7,6.4,3.9,1.3,6.4,5.1,15.4
305,Ian Mahinmi\mahinia01,C,33,WAS,38,35,808,6,12.1,0.495,0.3,1.5,0.192,5.7,10.6,0.538,4,6.5,0.619,4.5,8.1,12.6,2.8,1.8,2.5,2.6,6.6,16.3
306,Thon Maker\makerth01,C,22,DET,60,14,776,5.9,12.2,0.482,1.4,4.1,0.344,4.5,8.2,0.55,4.6,7,0.664,3.4,7.2,10.6,2.7,1.6,2.5,2.9,6.5,17.8
307,Terance Mann\mannte01,SG,23,LAC,36,6,282,3.8,9.9,0.39,0.7,2.2,0.308,3.2,7.7,0.413,1.5,2,0.75,1,5,6,6.7,1.5,0.8,2.3,6.4,9.9
308,Boban Marjanović\marjabo01,C,31,DAL,38,2,342,14,24.9,0.563,0.6,2.1,0.267,13.4,22.8,0.59,5.1,6.8,0.75,7.9,14.4,22.3,1.8,1,1,3.7,6.8,33.6
309,Lauri Markkanen\markkla01,PF,22,CHI,50,50,1492,8.1,19.1,0.425,3.5,10.2,0.344,4.6,8.8,0.518,4.1,4.9,0.824,1.9,8.2,10.1,2.4,1.4,0.7,2.6,3.1,23.8
310,Caleb Martin\martica02,SF,24,CHO,18,1,317,5.8,13.3,0.44,3.2,5.8,0.541,2.7,7.4,0.362,2.7,3.3,0.81,1.6,4.4,6,3.6,1.9,1.1,2.4,5.1,17.5
311,Cody Martin\martico01,SF,24,CHO,48,3,903,4.9,11.5,0.43,1,4.3,0.234,3.9,7.2,0.546,2.3,3.6,0.646,2.1,6.7,8.8,5.3,2.2,0.5,2.4,4.3,13.2
312,Jeremiah Martin\martije02,PG,23,BRK,4,0,25,7.6,24.7,0.308,1.9,11.4,0.167,5.7,13.3,0.429,0,0,,0,7.6,7.6,7.6,3.8,1.9,1.9,1.9,17.1
313,Kelan Martin\martike03,SF,24,MIN,31,4,495,6.7,17,0.392,2.3,9,0.26,4.3,8,0.541,2.8,2.9,0.968,1.1,7.9,9,2.2,0.7,0.8,1.9,4.8,18.5
314,Frank Mason III\masonfr01,PG,25,MIL,6,0,53,4.3,16.4,0.263,1.7,8.6,0.2,2.6,7.8,0.333,1.7,3.4,0.5,2.6,4.3,6.9,9.5,1.7,0,5.2,3.4,12.1
315,Garrison Mathews\mathega01,SG,23,WAS,18,0,227,4.9,11.5,0.429,3.9,9.5,0.413,1,2.1,0.5,6.4,7,0.912,1.2,3.7,4.9,2.1,1.6,0.2,1.6,6.6,20.1
316,Wesley Matthews\matthwe02,SG,33,MIL,63,63,1555,4.7,12,0.396,3,8.3,0.364,1.7,3.6,0.468,1.5,1.9,0.773,0.6,4.1,4.7,2.7,1.1,0.3,1.2,2.7,14
317,Patrick McCaw\mccawpa01,SF,24,TOR,37,12,908,3.5,8.5,0.414,1.2,3.7,0.324,2.3,4.8,0.484,0.7,0.9,0.722,1,3.5,4.5,4.1,2,0.2,1.5,3.2,8.9
318,CJ McCollum\mccolcj01,SG,28,POR,63,63,2275,11.8,25.8,0.457,3.7,9.7,0.381,8.1,16.1,0.502,2.6,3.5,0.753,0.9,4.5,5.4,5.7,1,0.8,2.5,3.4,29.9
319,T.J. McConnell\mccontj01,PG,27,IND,64,3,1205,7.7,14.9,0.516,0.2,0.6,0.313,7.5,14.2,0.526,1.4,1.6,0.85,1.4,5.3,6.7,13.1,1.9,0.4,3.5,2.8,16.9
320,Jalen McDaniels\mcdanja01,PF,22,CHO,16,0,293,5.6,12,0.471,1.5,4.1,0.375,4.1,7.9,0.522,2.4,2.9,0.824,2.6,8.5,11.1,2.2,1.4,0.5,1.9,6.2,15.2
321,Doug McDermott\mcderdo01,PF,28,IND,63,0,1259,9.5,19.3,0.492,4.6,10.3,0.442,4.9,8.9,0.55,1.7,2.1,0.833,0.9,5.2,6.1,2.8,0.3,0.2,1.5,4.2,25.3
322,JaVale McGee\mcgeeja01,C,32,LAL,63,63,1044,8.4,13.2,0.638,0.1,0.3,0.5,8.3,12.9,0.641,2.3,3.5,0.649,5.3,11.3,16.6,1.5,1.5,4.2,2.2,6.9,19.3
323,Rodney McGruder\mcgruro01,SG,28,LAC,51,3,762,3.9,9.8,0.396,1.4,4.9,0.275,2.5,4.9,0.519,0.9,1.7,0.536,1.6,6.5,8.1,1.9,1.4,0.5,1.3,4.1,10.1
324,Alfonzo McKinnie\mckinal01,SF,27,CLE,40,1,593,6,14,0.427,1.1,5.3,0.215,4.8,8.7,0.557,1.8,2.5,0.71,3,6.2,9.3,1.1,1.9,0.7,2.1,5.9,14.9
325,Jordan McLaughlin\mclaujo01,PG,23,MIN,30,2,590,6.8,14,0.489,2.3,6,0.382,4.6,8,0.569,2,3.1,0.667,0.6,3.3,3.9,9.8,2.7,0.3,2.4,2.4,18
326,Ben McLemore\mclembe01,SG,26,HOU,64,19,1451,6.8,15.2,0.449,5.1,12.6,0.401,1.8,2.6,0.688,1.5,2,0.75,0.6,3.8,4.4,1.7,1.2,0.4,1.5,4.3,20.2
327,Jordan McRae\mcraejo01,SG,28,TOT,37,4,784,8.9,22,0.407,2.7,7.6,0.357,6.2,14.4,0.433,5,6.5,0.761,1.1,6.4,7.4,5.6,1.3,1,2.6,4.4,25.6
327,Jordan McRae\mcraejo01,SG,28,WAS,29,4,654,9.5,22.6,0.42,2.9,7.6,0.377,6.6,15.1,0.441,4.6,5.9,0.771,1.2,6.2,7.4,5.8,1.4,1.1,2.7,4.4,26.4
327,Jordan McRae\mcraejo01,SG,28,DEN,4,0,32,3.1,9.3,0.333,3.1,6.2,0.5,0,3.1,0,4.6,6.2,0.75,1.5,6.2,7.7,6.2,3.1,1.5,0,3.1,13.9
327,Jordan McRae\mcraejo01,SG,28,DET,4,0,98,7,21.6,0.326,1.5,8,0.188,5.5,13.6,0.407,8,11,0.727,0,7.5,7.5,3.5,0,0,2.5,5,23.6
328,Nicolò Melli\mellini01,C,29,NOP,54,6,929,6.2,14.3,0.434,3.2,9.3,0.349,3,5.1,0.588,2.4,3.3,0.727,1.8,6,7.9,3.6,1.7,0.9,2.1,5.4,18.1
329,De'Anthony Melton\meltode01,PG,21,MEM,53,8,1041,6.7,16.1,0.419,1.7,5.3,0.311,5.1,10.7,0.473,4,5.1,0.796,1.7,7.1,8.8,7.1,3,0.9,3.5,4.3,19.2
330,Chimezie Metu\metuch01,PF,22,SAS,16,0,73,13.1,23,0.571,0,0.7,0,13.1,22.3,0.588,3.9,5.3,0.75,6.6,10.5,17.1,3.9,0.7,2.6,3.3,2.6,30.2
331,Khris Middleton\middlkh01,SF,28,MIL,56,53,1686,11.7,23.6,0.494,3.7,8.9,0.413,8,14.7,0.543,4.9,5.4,0.91,1.1,8.2,9.4,6.3,1.4,0.2,3.1,3.4,31.9
332,Eric Mika\mikaer01,PF,25,SAC,1,0,19,5.1,7.7,0.667,0,0,,5.1,7.7,0.667,5.1,5.1,1,5.1,12.8,17.9,0,0,0,0,12.8,15.4
