Tm,Win,Pos,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
IND,39,5,7.2,15.3,0.470588235,0.7,4.3,0.162790698,6.5,11,0.590909091,0.493464052,2.9,3.9,0.743589744,2.6,8.8,11.4,2.5,0.7,3.8,3,6.8,18.1,100,106
CHO,23,5,7.4,13.5,0.548148148,0,0,0,7.4,13.5,0.548148148,0.548148148,4.4,7.4,0.594594595,5.8,9.2,15,2.4,0.5,2.4,2.3,5.6,19.1,116,112
SAC,28,4,7.7,16.1,0.47826087,3.3,7.8,0.423076923,4.4,8.3,0.530120482,0.580745342,1.6,1.9,0.842105263,2.8,8.2,11,4.7,1.5,0.9,2.4,5.2,20.3,118,111
MIL,53,1,9.6,19.9,0.48241206,2.1,6,0.35,7.5,13.8,0.543478261,0.535175879,4.7,5.8,0.810344828,1.2,6.5,7.8,9.1,1.6,0.7,4.2,3.6,25.9,112,103
SAC,28,2,9,20.7,0.434782609,4.5,12.3,0.365853659,4.5,8.3,0.542168675,0.543478261,2.5,3.4,0.735294118,0.5,4.9,5.5,5.4,1.8,0.4,2.8,3.7,25,109,113
UTA,42,3,9.8,21.9,0.447488584,4.4,10.7,0.411214953,5.4,11.2,0.482142857,0.547945205,5.8,6.5,0.892307692,0.9,5.1,6.1,3.1,0.8,0.2,3.7,2.6,29.8,111,113
DEN,43,5,8.2,16.5,0.496969697,0,4.1,0,8.2,12.3,0.666666667,0.496969697,4.1,4.1,1,8.2,8.2,16.5,4.1,0,0,8.2,0,20.6,96,114
PHI,39,4,6.9,10.4,0.663461538,0,3.5,0,6.9,6.9,1,0.663461538,0,6.9,0,0,3.5,3.5,0,3.5,0,6.9,13.9,13.9,56,107
PHO,26,4,2.9,11.5,0.252173913,0,4.3,0,2.9,7.2,0.402777778,0.252173913,2.9,2.9,1,4.3,7.2,11.5,0,2.9,2.9,0,8.6,8.6,94,106
CLE,19,5,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,32.4,32.4,0,16.2,0,0,16.2,0,,69
DET,20,1,4.6,18.6,0.247311828,1.9,9.3,0.204301075,2.8,9.3,0.301075269,0.298387097,0,0,0,0,3.7,3.7,7.4,0.9,0,1.9,5.6,11.1,76,117
WAS,24,3,4.4,8.5,0.517647059,1,2.5,0.4,3.4,6,0.566666667,0.576470588,2.5,3.1,0.806451613,2.8,5.6,8.3,2.8,1.7,0.9,1.9,6.2,12.2,121,116
PHO,26,2,11.5,23.7,0.485232068,2.7,7.4,0.364864865,8.8,16.2,0.543209877,0.542194093,8.6,9.4,0.914893617,0.6,4.9,5.5,8.6,1,0.3,5.2,4,34.2,114,115
TOR,46,4,7.8,17.2,0.453488372,1.8,6.6,0.272727273,6,10.6,0.566037736,0.505813953,5.4,6.8,0.794117647,6.2,9.7,15.9,1.5,1.3,3.5,1.5,6.8,22.9,122,101
IND,39,2,3.4,15.1,0.225165563,0,3.4,0,3.4,11.8,0.288135593,0.225165563,0,0,0,1.7,10.1,11.8,0,0,1.7,1.7,3.4,6.7,50,109
GSW,15,1,6.3,15.1,0.417218543,1.6,5,0.32,4.8,10.1,0.475247525,0.470198675,1.6,1.9,0.842105263,1.1,4.6,5.7,6.2,2.1,0.5,3.3,4.8,15.8,96,115
LAL,50,2,6.8,15.4,0.441558442,2.5,6.9,0.362318841,4.3,8.4,0.511904762,0.522727273,0.8,1,0.8,0.7,3.9,4.6,2.5,1.7,0.2,1.9,4.4,17,103,109
UTA,42,5,9.4,14.3,0.657342657,0.1,0.1,1,9.3,14.2,0.654929577,0.660839161,2.3,3.5,0.657142857,8.4,11.3,19.7,1.5,1.1,2.3,2.3,9.2,21.1,133,105
UTA,42,4,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,18.7,18.7,3.7,0,7.5,7.5,7.5,0,27,97
NYK,21,3,5.5,20.2,0.272277228,0.9,8.3,0.108433735,4.6,11.9,0.386554622,0.294554455,3.7,4.6,0.804347826,1.8,2.8,4.6,3.7,0,0.9,1.8,2.8,15.6,82,119
PHO,26,3,5.6,10.9,0.513761468,1.5,4.3,0.348837209,4.1,6.6,0.621212121,0.582568807,2.4,2.9,0.827586207,1.5,5.3,6.9,3.1,2.5,1,1.7,3.8,15.1,119,110
CHO,23,3,8,18.9,0.423280423,2.5,7.5,0.333333333,5.5,11.4,0.48245614,0.489417989,2.7,3.3,0.818181818,2.2,6.9,9.1,2.9,1,1.2,2.4,3.3,21.2,103,114
TOR,46,3,4.6,12.7,0.362204724,1.1,5.3,0.20754717,3.5,7.4,0.472972973,0.405511811,2.8,3.5,0.8,3.2,6,9.2,2.5,1.4,0.4,2.5,6.4,13.1,96,107
DAL,40,2,5.9,15.8,0.373417722,5.4,13.7,0.394160584,0.5,2.1,0.238095238,0.544303797,1.9,2.1,0.904761905,1.3,10.2,11.5,3,1.3,1.1,1.6,4,19.1,115,109
IND,39,1,9.6,21.8,0.440366972,2,6.5,0.307692308,7.5,15.3,0.490196078,0.486238532,4.8,5.4,0.888888889,1.3,6.2,7.5,11.3,1.1,0.3,3.8,2.9,25.9,110,111
MEM,32,2,9.4,23.3,0.403433476,3.3,9.1,0.362637363,6,14.2,0.422535211,0.474248927,3.6,4.5,0.8,1.6,3.8,5.4,3.3,1.4,0.6,2.7,6.2,25.6,100,113
DET,20,2,6,13.5,0.444444444,1,2.9,0.344827586,5,10.6,0.471698113,0.481481481,2.6,3.6,0.722222222,1.8,6.4,8.2,6.9,1.9,0.9,3,4.9,15.6,106,112
ATL,20,2,7,22.1,0.316742081,3.5,10.5,0.333333333,3.5,11.6,0.301724138,0.395927602,5.8,5.8,1,2.3,2.3,4.7,2.3,2.3,2.3,3.5,3.5,23.3,93,114
BOS,43,3,10.7,21.9,0.488584475,3.1,8.1,0.382716049,7.6,13.8,0.550724638,0.559360731,4.6,6.3,0.73015873,1.5,7.4,9,3.1,1.6,0.4,3.3,4.3,29.1,111,108
POR,29,5,5.8,14.4,0.402777778,0,0,0,5.8,14.4,0.402777778,0.402777778,4.3,11.6,0.370689655,4.3,15.9,20.2,1.4,1.4,1.4,4.3,10.1,15.9,81,107
MIL,53,3,5.4,14.7,0.367346939,2.4,7.8,0.307692308,3,7,0.428571429,0.448979592,1.9,2.4,0.791666667,1.9,9.4,11.4,3.1,1.7,0.5,2.5,3.1,15,96,102
WAS,24,2,7.1,15.6,0.455128205,1.5,4.4,0.340909091,5.6,11.2,0.5,0.503205128,2.7,3.5,0.771428571,2,7.9,9.8,4.3,2.3,0.2,2,3.4,18.4,110,114
DAL,40,1,8.6,18.4,0.467391304,2,5.7,0.350877193,6.5,12.7,0.511811024,0.52173913,2.9,3.5,0.828571429,1,5.3,6.3,8.9,1,0.2,3.1,3.5,22,114,114
WAS,24,5,9.4,15.9,0.591194969,1.1,2.9,0.379310345,8.2,13,0.630769231,0.625786164,3.5,4.8,0.729166667,3.8,9.5,13.3,3.7,0.8,1.6,2.4,4.3,23.5,125,115
NYK,21,2,6.4,15.9,0.402515723,2.6,7.9,0.329113924,3.8,8,0.475,0.48427673,1.2,1.5,0.8,0.9,3.9,4.8,3,1.8,0.2,1.4,4,16.7,105,115
PHI,39,1,8.7,18.7,0.465240642,2.4,5.6,0.428571429,6.3,13.1,0.480916031,0.529411765,1.9,2.7,0.703703704,2.2,3,5.2,7.8,1,0.1,1.8,3.1,21.7,119,113
GSW,15,2,8.4,20.7,0.405797101,2.9,7.7,0.376623377,5.5,13,0.423076923,0.475845411,6.9,7.7,0.896103896,1.3,6.5,7.8,5.2,1.7,0.6,2.6,3.7,26.6,110,114
PHI,39,2,8.7,21.6,0.402777778,3.9,10.8,0.361111111,4.8,10.8,0.444444444,0.493055556,5,5.6,0.892857143,1.2,6.6,7.9,4.4,1.7,0,2.7,3.3,26.4,109,110
OKC,40,2,6.7,18,0.372222222,1.7,7.9,0.215189873,5,10.1,0.495049505,0.419444444,1,2.1,0.476190476,1,7.2,8.2,1.9,0.9,1.7,2.4,4.8,16.1,83,110
MIA,41,3,8.7,19.1,0.455497382,0.8,3,0.266666667,7.9,16,0.49375,0.476439791,10.9,13,0.838461538,2.6,6.8,9.4,8.8,2.5,0.8,3.1,2,29,123,108
MEM,32,3,6.8,16.8,0.404761905,1,6.1,0.163934426,5.8,10.7,0.542056075,0.43452381,0.5,0.7,0.714285714,4.1,6.6,10.7,2.4,2.4,2.9,1.7,5.6,15.1,97,107
HOU,40,3,6.6,13.3,0.496240602,0,5,0,6.6,8.3,0.795180723,0.496240602,3.3,3.3,1,8.3,6.6,14.9,3.3,3.3,6.6,3.3,3.3,16.6,119,100
LAL,50,2,6.4,13.8,0.463768116,2.5,6.5,0.384615385,3.9,7.2,0.541666667,0.554347826,2.2,2.8,0.785714286,1.1,2.8,3.8,3.1,1.5,0.4,1.7,3.5,17.5,115,110
DEN,43,3,6.6,16.5,0.4,1.1,6.6,0.166666667,5.5,9.9,0.555555556,0.433333333,4.4,4.4,1,5.5,5.5,11,3.3,1.1,1.1,3.3,7.7,18.7,106,112
HOU,40,5,8.9,14.1,0.631205674,0,0,0,8.9,14.1,0.631205674,0.631205674,2,3.8,0.526315789,6.1,13.4,19.5,1.7,1.2,2.6,2.3,3.7,19.7,124,106
SAS,27,3,3.2,10.3,0.310679612,1.1,4.6,0.239130435,2.1,5.7,0.368421053,0.36407767,4.3,7.1,0.605633803,2.5,8.5,11,3.9,0.7,0.7,3.6,7.1,11.7,88,115
HOU,40,3,5.8,12.1,0.479338843,1.9,6.8,0.279411765,3.9,5.3,0.735849057,0.55785124,5.8,7.7,0.753246753,1.9,5.8,7.7,3.4,1,1,2.9,3.9,19.3,118,113
PHO,26,1,5.1,12.8,0.3984375,2.9,7.3,0.397260274,2.2,5.4,0.407407407,0.51171875,1.4,1.6,0.875,1.5,4.6,6.1,4,2.4,0.8,1.9,4.7,14.5,107,111
ATL,20,3,5.7,16.2,0.351851852,3.2,10.7,0.299065421,2.4,5.4,0.444444444,0.450617284,1.2,1.5,0.8,1,5.6,6.6,2.6,1.2,1.3,1.8,4.8,15.9,94,116
CHI,22,5,7,13.2,0.53030303,0.2,1.1,0.181818182,6.8,12,0.566666667,0.537878788,4.3,5.8,0.74137931,5.3,10.2,15.5,2,1.3,1.4,2.8,6.2,18.6,115,108
ORL,30,2,6.6,15.4,0.428571429,1.3,4.4,0.295454545,5.3,11,0.481818182,0.470779221,4.5,5.4,0.833333333,2.8,5.9,8.6,6.4,2.8,1.2,3,5.2,18.9,109,107
LAL,50,1,5,12,0.416666667,1.7,4.9,0.346938776,3.3,7.1,0.464788732,0.4875,2.9,3.8,0.763157895,0.7,4.4,5.1,4.7,2.8,0.8,2.2,3.8,14.7,108,105
GSW,15,5,7.3,13.1,0.557251908,0,0,0,7.3,13.1,0.557251908,0.557251908,1.8,2.9,0.620689655,3.6,9.4,13,3.1,2.3,2.5,1.8,5.2,16.4,114,109
DAL,40,5,9.5,13.9,0.683453237,0,0.3,0,9.5,13.5,0.703703704,0.683453237,1.5,2.8,0.535714286,4,14.5,18.5,3.1,1.2,3.4,1.5,5.9,20.6,136,104
HOU,40,5,3,3.8,0.789473684,0,0,0,3,3.8,0.789473684,0.789473684,1.3,2.8,0.464285714,5.3,8.7,14,1.3,1.3,1.7,1.7,6.8,7.2,135,109
BRK,30,3,4.8,11.8,0.406779661,2.4,7.8,0.307692308,2.4,4,0.6,0.508474576,1.3,1.5,0.866666667,0.7,8.7,9.4,2.5,1,0.8,2.2,5.1,13.2,99,109
CHO,23,1,0,10.6,0,0,6.1,0,0,4.6,0,0,3,3,1,0,0,0,1.5,6.1,0,3,3,3,29,108
NOP,28,3,3,7.5,0.4,0,1.5,0,3,6,0.5,0.4,0,0,0,1.5,7.5,8.9,3,0,1.5,4.5,7.5,6,67,114
WAS,24,1,3.8,12.9,0.294573643,2.7,6.1,0.442622951,1.1,6.8,0.161764706,0.399224806,0,0,0,0,5.7,5.7,10.6,3.8,0.8,3.4,4.6,10.2,91,111
BRK,30,1,7.6,16.9,0.449704142,3.6,10,0.36,4,7,0.571428571,0.556213018,0.7,0.7,1,2.3,4.6,7,7.6,1.7,0,2.7,4.3,19.6,117,111
GSW,15,4,8.4,15.4,0.545454545,0.3,1.6,0.1875,8.1,13.8,0.586956522,0.555194805,4.8,6.2,0.774193548,4.6,10,14.6,4.6,1.6,2.5,3.1,4.9,21.9,117,110
HOU,40,4,5,12.9,0.387596899,3.9,11.2,0.348214286,1.1,1.8,0.611111111,0.53875969,1.3,1.5,0.866666667,2.4,6.3,8.8,2.6,0.4,1.5,0.4,4.6,15.3,127,113
ORL,30,4,3.6,9.8,0.367346939,2.4,8.2,0.292682927,1.1,1.6,0.6875,0.489795918,0.4,0.4,1,3.6,6.5,10,0.7,0.7,1.6,0.9,2.2,10,109,111
MEM,32,4,10.9,17.3,0.630057803,0.9,2.2,0.409090909,10,15.2,0.657894737,0.656069364,3.3,4.2,0.785714286,3.3,9.1,12.5,3.1,1.1,1.8,1.9,3.5,26,130,110
CLE,19,2,10.5,23.8,0.441176471,4.3,11.6,0.370689655,6.2,12.2,0.508196721,0.531512605,5.6,6.3,0.888888889,1.5,3.5,5,5.1,1.2,0.6,2.8,2.4,30.9,116,118
UTA,42,2,11.6,24.5,0.473469388,3.9,11,0.354545455,7.6,13.5,0.562962963,0.553061224,2.8,3.6,0.777777778,1.4,4.2,5.6,3.1,1.5,0.4,2.4,3.3,29.9,110,111
BRK,30,4,6.8,12.2,0.557377049,0.3,1.8,0.166666667,6.6,10.4,0.634615385,0.569672131,2.8,5.3,0.528301887,4.8,6.3,11.2,4.1,0.3,2,2.3,3.6,16.7,118,111
HOU,40,2,9.4,23.3,0.403433476,6.1,17.4,0.350574713,3.3,5.9,0.559322034,0.534334764,1.1,1.3,0.846153846,0.6,3.7,4.3,4.1,1.1,0.9,3.1,3.7,26.1,104,114
DAL,40,2,4.4,13.2,0.333333333,0,2.2,0,4.4,11,0.4,0.333333333,2.2,4.4,0.5,0,6.6,6.6,0,2.2,2.2,2.2,4.4,11,66,108
LAC,44,2,6.6,15.9,0.41509434,1.3,4.4,0.295454545,5.3,11.5,0.460869565,0.455974843,0.4,1.3,0.307692308,1.8,4.4,6.2,4.4,0.4,0.4,2.6,6.2,15,94,112
ATL,20,4,12.1,20.7,0.584541063,2,5,0.4,10.1,15.7,0.643312102,0.632850242,4.1,5.1,0.803921569,4,10.3,14.2,2.1,1.1,2.3,2.6,4.7,30.3,124,112
POR,29,4,4.6,10.8,0.425925926,1.5,3.9,0.384615385,3.1,7,0.442857143,0.49537037,2.3,2.3,1,2.7,5.4,8.1,3.5,0.4,0.8,2.3,6.6,13.2,112,118
UTA,42,1,8.2,20.2,0.405940594,3.3,8.8,0.375,4.9,11.4,0.429824561,0.487623762,4,5,0.8,1.1,4.3,5.4,7.3,1.3,0.2,3.2,3.7,23.6,108,112
