Tm,Win,Pos,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
WAS,32,5,4.5,9.9,0.454545455,0.3,1.5,0.2,4.2,8.4,0.5,0.46969697,4,5.8,0.689655172,4.6,7.6,12.2,2.4,2.4,1.5,2,8,13.2,113,111
MIL,60,5,6.7,15.2,0.440789474,3,8.9,0.337078652,3.7,6.4,0.578125,0.539473684,2.3,4.2,0.547619048,1.9,9,10.9,2,1.1,2,1,6.2,18.6,112,104
DET,41,4,4.4,11.7,0.376068376,2,6.6,0.303030303,2.4,5.2,0.461538462,0.461538462,3.2,4.1,0.780487805,2.1,7.2,9.3,2.4,1,2.9,2.1,4.4,13.9,104,107
LAC,48,5,10.7,17.6,0.607954545,0,0.3,0,10.7,17.3,0.61849711,0.607954545,9,11.9,0.756302521,6.9,12.2,19.1,2.8,1.4,2.1,4.6,7.2,30.4,122,107
PHI,51,5,11.6,18.6,0.623655914,0.6,1.2,0.5,11,17.3,0.63583815,0.639784946,4,5.6,0.714285714,5,12.5,17.5,5,0.8,1.5,3.4,5.1,27.9,125,108
CHI,22,4,9.9,22.9,0.43231441,3.5,9.6,0.364583333,6.4,13.3,0.481203008,0.508733624,4.9,5.6,0.875,2.1,11.4,13.6,2.2,1.1,1,2.5,3.5,28.1,107,112
ORL,42,4,6.4,15.5,0.412903226,3,8.5,0.352941176,3.4,7,0.485714286,0.509677419,1.3,1.6,0.8125,1.6,9.3,10.9,2.7,0.4,1.2,1.6,7.6,17.2,105,109
SAC,39,1,7.6,18.1,0.419889503,1.5,6.8,0.220588235,6.1,11.2,0.544642857,0.461325967,4.2,6.1,0.68852459,0.6,4,4.6,9,1.7,0.4,3.9,3.6,20.9,102,114
MIA,39,4,3.8,15,0.253333333,0,3.8,0,3.8,11.3,0.336283186,0.253333333,0,0,0,3.8,7.5,11.3,0,3.8,0,0,0,7.5,70,104
DAL,33,3,7.2,17.3,0.416184971,3.7,9.7,0.381443299,3.5,7.6,0.460526316,0.523121387,3.2,4.1,0.780487805,0.7,3,3.8,3.7,1.2,0.4,2.1,3.8,21.3,109,114
NYK,17,2,3.6,17,0.211764706,1.8,8.9,0.202247191,1.8,8,0.225,0.264705882,3.6,4.5,0.8,0.9,1.8,2.7,4.5,0.9,0.9,1.8,1.8,12.5,78,118
IND,48,2,5.5,14.2,0.387323944,3.2,8.8,0.363636364,2.2,5.4,0.407407407,0.5,2.8,3.2,0.875,0.7,3.6,4.4,3.7,1.3,0.3,2.1,3.8,16.9,106,111
LAC,48,4,6.2,13.9,0.446043165,1.5,4.6,0.326086957,4.6,9.3,0.494623656,0.5,1.5,3.9,0.384615385,1.5,3.9,5.4,1.5,0.8,0.8,1.5,6.2,15.5,98,115
BRK,42,2,11.9,17.8,0.668539326,0,5.9,0,11.9,11.9,1,0.668539326,0,5.9,0,0,5.9,5.9,0,0,0,0,11.9,23.8,108,114
CLE,19,2,1.9,8.4,0.226190476,0.9,3.7,0.243243243,0.9,4.7,0.191489362,0.279761905,0,0,0,0,2.8,2.8,1.9,1.9,0,2.8,0.9,4.7,52,119
TOR,58,2,3.3,7.5,0.44,1.1,3.3,0.333333333,2.2,4.2,0.523809524,0.513333333,1.8,2.1,0.857142857,1,5.3,6.3,3.8,2.9,0.3,2,5.2,9.6,110,106
POR,53,2,11.6,25.3,0.458498024,3.4,9.1,0.373626374,8.2,16.3,0.503067485,0.5256917,3.2,3.9,0.820512821,1.3,4.5,5.8,4.2,1.1,0.6,2.2,3.5,29.9,113,113
PHI,51,1,7.1,13.5,0.525925926,0.4,1.3,0.307692308,6.6,12.1,0.545454545,0.540740741,0.9,1.2,0.75,0.9,4.7,5.6,8.3,2.5,0.5,2.9,3.4,15.5,110,110
IND,48,3,7.6,15.4,0.493506494,3.1,7.5,0.413333333,4.5,7.9,0.569620253,0.594155844,2.4,2.9,0.827586207,0.6,3.4,4,2.4,0.7,0.3,1.5,3.8,20.6,117,112
LAL,37,5,11.1,17.9,0.620111732,0,0.3,0,11.1,17.5,0.634285714,0.620111732,2.7,4.2,0.642857143,5.4,10.3,15.8,1.4,1.3,4.1,3,5.8,25,117,104
MIA,39,2,5.9,14.5,0.406896552,2.5,7.1,0.352112676,3.4,7.4,0.459459459,0.493103448,1.6,2.3,0.695652174,1.9,5.6,7.5,3.5,1.1,0.4,2,3.6,15.9,104,111
GSW,57,3,6.4,13,0.492307692,2,5.6,0.357142857,4.4,7.4,0.594594595,0.569230769,1.3,2.3,0.565217391,3.8,7.9,11.7,1.5,0.9,0.7,1.4,6.4,16,116,111
SAC,39,2,7.4,18.9,0.391534392,5,12.1,0.41322314,2.4,6.8,0.352941176,0.523809524,2.4,3.5,0.685714286,0.9,4.1,5,1.2,1.8,0.9,1.5,6.5,22.1,105,113
WAS,32,2,8.7,18.5,0.47027027,1.4,5,0.28,7.3,13.5,0.540740741,0.508108108,4,5,0.8,0.9,4.8,5.7,4.3,1.8,1,2.1,3.7,22.8,109,114
TOR,58,2,9.7,18,0.538888889,3.7,8.3,0.445783133,6,9.7,0.618556701,0.641666667,0.5,0.5,1,0.5,5.1,5.5,3.7,0.5,0.5,0.9,2.3,23.5,127,112
DAL,33,5,6.7,13.6,0.492647059,1.3,4.1,0.317073171,5.3,9.5,0.557894737,0.540441176,2.4,3.9,0.615384615,4.4,11.5,15.9,4.3,1.2,3.2,2.6,6.7,17.1,114,106
PHO,19,1,4.9,12.4,0.39516129,1.4,4.6,0.304347826,3.4,7.8,0.435897436,0.451612903,1,1.4,0.714285714,1.2,5.3,6.5,7.7,3.3,1.1,3.6,5.5,12.1,93,112
SAS,48,4,6.4,19.5,0.328205128,0,0.7,0,6.4,18.9,0.338624339,0.328205128,4.4,5.7,0.771929825,3,9.1,12.1,4.4,2,0.7,5.1,4.7,17.2,79,109
MIL,60,3,9.8,22.3,0.439461883,3.5,9.2,0.380434783,6.4,13.1,0.488549618,0.51793722,4.2,5,0.84,1,8,9,6.4,1.6,0.1,3.4,3.3,27.3,109,106
TOR,58,3,6,17.6,0.340909091,3.7,11.7,0.316239316,2.3,5.9,0.389830508,0.446022727,3,3.8,0.789473684,1,4.8,5.8,1.9,1.5,0.9,1.8,5.3,18.6,97,109
MEM,33,3,7.1,17.7,0.401129944,4.1,11.2,0.366071429,3,6.6,0.454545455,0.516949153,2.2,2.4,0.916666667,0.2,4.4,4.6,2.4,1.4,0.8,1.5,2.9,20.5,104,112
NOP,33,3,5,12.8,0.390625,3.5,9.6,0.364583333,1.5,3.2,0.46875,0.52734375,1.5,1.9,0.789473684,0.4,3,3.4,3.9,1.1,0.6,1.6,4.4,15,110,116
TOR,58,3,7.9,18.6,0.424731183,7.2,15,0.48,0.7,3.6,0.194444444,0.61827957,2.1,2.9,0.724137931,0.7,2.9,3.6,0.7,0.7,0.7,0.7,3.6,25,122,112
SAS,48,1,7.2,17,0.423529412,4.1,10.3,0.398058252,3.1,6.6,0.46969697,0.544117647,2.3,2.6,0.884615385,0.6,4,4.7,6.3,1.3,0.3,2.4,3.3,20.8,112,114
DEN,54,4,8.3,17.2,0.48255814,1.5,4.1,0.365853659,6.8,13.1,0.519083969,0.526162791,4.7,6.5,0.723076923,4,9.1,13.1,3.7,2.2,1.4,2.5,4.7,22.9,116,106
PHI,51,2,6,15.3,0.392156863,2.5,7.8,0.320512821,3.5,7.6,0.460526316,0.473856209,0.9,1.2,0.75,1.6,4.6,6.2,3.2,1.4,1.4,1.1,5.1,15.3,105,111
NOP,33,4,9.1,20.5,0.443902439,4.3,11.6,0.370689655,4.9,8.8,0.556818182,0.548780488,4.3,5.1,0.843137255,2.3,11,13.3,1.8,1.1,1.3,1.9,4.3,26.8,116,111
MIL,60,4,8.1,19.6,0.413265306,4.5,12.6,0.357142857,3.6,7,0.514285714,0.528061224,2.9,3.3,0.878787879,2,8.9,10.9,2.9,1.5,1.3,1.6,3,23.7,113,105
UTA,50,2,12.2,28.2,0.432624113,3.5,9.6,0.364583333,8.7,18.6,0.467741935,0.494680851,5.9,7.3,0.808219178,1.1,4.7,5.8,5.9,2,0.6,4,3.8,33.7,104,107
UTA,50,2,3.4,11.4,0.298245614,1.1,6.3,0.174603175,2.3,5.1,0.450980392,0.346491228,1.1,1.1,1,0.6,2.8,3.4,8.5,0.6,0.6,4.6,5.7,9.1,81,111
CHO,39,2,8.8,22.7,0.387665198,4.2,12.8,0.328125,4.6,9.9,0.464646465,0.480176211,3.5,3.9,0.897435897,0.6,4.7,5.3,4.5,1.4,0.7,3.3,4.1,25.2,99,114
TOR,58,5,8.4,18.2,0.461538462,0,0.5,0,8.4,17.8,0.471910112,0.461538462,4,6.9,0.579710145,6.8,10.9,17.7,1.8,1.5,0.9,3.5,6.9,20.7,101,105
BOS,49,5,28.9,48.2,0.599585062,0,0,0,28.9,48.2,0.599585062,0.599585062,0,0,0,28.9,0,28.9,9.6,0,0,0,0,57.8,142,118
PHI,51,5,13.6,20.9,0.650717703,0.9,0.9,1,12.7,20,0.635,0.672248804,9.1,10,0.91,3.6,8.2,11.8,6.4,0.9,0,0.9,4.5,37.2,154,112
NOP,33,2,8.1,16.9,0.479289941,2.4,5.6,0.428571429,5.7,11.3,0.504424779,0.550295858,1.4,1.9,0.736842105,1.1,2.9,4,3.2,1.3,0.3,1.9,3.6,20.1,110,117
PHO,19,4,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,28.6,28.6,0,0,0,0,9.5,0,,106
TOR,58,4,3.8,8.8,0.431818182,1.3,1.3,1,2.5,7.6,0.328947368,0.505681818,0,0,0,5,16.4,21.4,5,1.3,1.3,6.3,10.1,8.8,86,102
MIL,60,2,6.4,16,0.4,1.6,4.8,0.333333333,4.8,11.2,0.428571429,0.45,1.6,3.2,0.5,0,8,8,6.4,3.2,0,1.6,1.6,16,100,103
BOS,49,4,8.7,19.4,0.448453608,3.4,9,0.377777778,5.3,10.5,0.504761905,0.536082474,3.4,4,0.85,1.8,8.8,10.6,2.5,1,0.6,2.1,4.2,24.1,110,109
WAS,32,4,7.7,17.6,0.4375,2.6,7.7,0.337662338,5.1,9.9,0.515151515,0.511363636,3.1,3.9,0.794871795,2.2,7.1,9.3,3.2,1.3,1.1,2.5,6.3,21,106,114
OKC,49,4,7.4,18.8,0.393617021,2.4,7.1,0.338028169,4.9,11.7,0.418803419,0.457446809,1.7,2.3,0.739130435,2.4,8.6,11,2.3,1.3,0.2,0.8,7,18.8,106,108
DEN,54,1,8.6,17.5,0.491428571,2.3,5.7,0.403508772,6.3,11.8,0.533898305,0.557142857,1.6,2,0.8,0.9,4,4.8,7.4,1.8,0.1,1.3,2.5,21.2,124,111
SAS,48,4,11.3,22.5,0.502222222,0,0,0,11.3,22.5,0.502222222,0.502222222,0,7.5,0,7.5,3.8,11.3,3.8,0,3.8,11.3,22.5,22.5,72,111
LAC,48,4,11.8,22.1,0.533936652,0,0.9,0,11.8,21.2,0.556603774,0.533936652,7.3,12.1,0.603305785,5.4,10,15.4,3.3,1.5,0.9,4.8,8.2,30.9,106,109
NYK,17,1,9.9,22.2,0.445945946,2.1,6.3,0.333333333,7.8,15.9,0.490566038,0.493243243,4.3,5.6,0.767857143,1,4.9,5.9,6.8,1.3,0.6,4.2,3.1,26.2,102,116
DEN,54,1,10.3,23.5,0.438297872,3.1,8.3,0.373493976,7.2,15.2,0.473684211,0.504255319,3.8,4.5,0.844444444,1.3,5.1,6.4,7.3,1.3,0.5,3.2,3.1,27.4,110,111
BRK,42,2,11,26.8,0.410447761,1.2,12.2,0.098360656,9.8,14.6,0.671232877,0.432835821,0,2.4,0,1.2,4.9,6.1,2.4,2.4,0,4.9,1.2,23.2,75,110
PHI,51,4,4.9,12.6,0.388888889,3.1,9,0.344444444,1.9,3.6,0.527777778,0.511904762,2.9,3.5,0.828571429,2.3,6.8,9.1,2.8,0.8,1.2,2,5.1,15.8,112,111
LAL,37,4,6.3,14.6,0.431506849,3.7,10,0.37,2.6,4.6,0.565217391,0.558219178,1.2,1.4,0.857142857,1.1,6.7,7.7,2.5,0.7,1.9,0.9,3.2,17.6,117,111
LAL,37,3,4.9,14.6,0.335616438,3,9.4,0.319148936,1.9,5.2,0.365384615,0.438356164,1.3,2.2,0.590909091,0.9,2.9,3.8,3.7,1.4,0.1,2.2,2.8,14.1,91,114
DET,41,3,4.9,19.7,0.248730964,4.9,9.9,0.494949495,0,9.9,0,0.373096447,0,0,0,2.5,2.5,4.9,9.9,2.5,0,2.5,0,14.8,96,111
OKC,49,3,6.1,14.5,0.420689655,2.2,6.7,0.328358209,4,7.7,0.519480519,0.496551724,1.8,2.4,0.75,0.9,6.9,7.8,1.3,1.3,0.8,1.7,4.6,16.2,102,108
CLE,19,5,6.9,13.3,0.518796992,0.9,2.7,0.333333333,6,10.5,0.571428571,0.552631579,2.7,3.7,0.72972973,4.6,10.6,15.3,5.9,2.8,1.1,2.7,5.3,17.3,120,112
BRK,42,1,8.2,21.1,0.388625592,3.7,11,0.336363636,4.5,10,0.45,0.476303318,5.6,6.7,0.835820896,0.9,4,4.8,6.9,2,0.8,3.2,3.2,25.6,109,110
UTA,50,1,7.5,16.3,0.460122699,2,6.1,0.327868852,5.5,10.2,0.539215686,0.521472393,2.8,3.3,0.848484848,0.6,5.7,6.3,9.4,1.4,0.4,3.5,4.9,19.8,111,108
UTA,50,4,8,16.8,0.476190476,4,9.7,0.412371134,4,7,0.571428571,0.595238095,1.9,2.2,0.863636364,1,7,8.1,3.2,0.9,0.6,2.1,5.3,21.8,115,108
MEM,33,5,7.9,15.3,0.516339869,0,0.1,0,7.9,15.2,0.519736842,0.516339869,5.6,7.8,0.717948718,4.2,12.9,17.1,6.4,1.4,2.2,3.6,6.9,21.4,113,105
OKC,49,5,7.2,12.2,0.590163934,0,0,0,7.2,12.2,0.590163934,0.590163934,2.4,3.5,0.685714286,5.6,8.8,14.4,2,2.9,4.2,2.1,7.3,16.7,122,99
DAL,33,4,8.2,22.9,0.358078603,3.9,12.5,0.312,4.3,10.4,0.413461538,0.443231441,2.4,3.1,0.774193548,0.3,9.3,9.6,2.1,0.5,1.1,1.1,4.6,22.8,96,111
NYK,17,1,5.1,15,0.34,1.8,6.1,0.295081967,3.3,8.9,0.370786517,0.4,1.2,1.6,0.75,0.6,4,4.6,6.5,1.6,0.7,3,5.5,13.1,88,115
MIN,36,3,6.7,15.7,0.426751592,3.7,9.7,0.381443299,3,6,0.5,0.544585987,3,3,1,0,3,3,3.7,0.7,0,0.7,3,20.2,124,119
HOU,53,3,3.9,16.8,0.232142857,3.9,15.5,0.251612903,0,1.3,0,0.348214286,0,0,0,0,1.3,1.3,2.6,0,0,0,7.7,11.6,83,119
POR,53,5,10.3,20.3,0.507389163,0.1,0.7,0.142857143,10.2,19.6,0.520408163,0.509852217,6.9,9,0.766666667,6,12.4,18.4,5.7,1.7,2.5,4.1,6.1,27.6,116,105
CLE,19,2,6.4,13.2,0.484848485,1.2,3.8,0.315789474,5.1,9.4,0.542553191,0.53030303,2.9,4.3,0.674418605,2.1,6.2,8.2,2.7,1.8,0.9,1.5,5.4,16.9,115,116
UTA,50,3,4.7,9.8,0.479591837,1.9,5,0.38,2.7,4.8,0.5625,0.576530612,0.9,1.2,0.75,0.6,7.5,8.2,3.6,1.5,0.7,2,4.9,12.2,108,106
IND,48,5,9.1,17.9,0.508379888,0.1,1.6,0.0625,9,16.3,0.552147239,0.511173184,2.2,2.8,0.785714286,3.8,11.9,15.7,7.4,1.2,3.3,4.1,9,20.6,106,102
BOS,49,4,5.4,12.8,0.421875,2.3,7.2,0.319444444,3.2,5.6,0.571428571,0.51171875,1.9,3.2,0.59375,1.9,5,7,1.9,0.8,0.3,1.5,3.5,15.1,106,112
NOP,33,5,10.5,18,0.583333333,0,0.2,0,10.5,17.7,0.593220339,0.583333333,2.9,4.4,0.659090909,4.1,9.7,13.8,2,0.7,2,2.6,4.8,24.1,115,112
PHO,19,1,5.7,14.5,0.393103448,1.9,6.6,0.287878788,3.7,7.9,0.46835443,0.45862069,1.8,2.3,0.782608696,0.6,4.3,4.9,6.3,1.6,0.3,3.4,5.4,15.2,94,117
MIN,36,2,5.3,13.9,0.381294964,1.6,5.9,0.271186441,3.7,8,0.4625,0.438848921,3.2,4.4,0.727272727,1.1,4.8,5.9,2.5,2.4,0.9,1.7,4.5,15.5,101,113
IND,48,2,10.6,25.1,0.422310757,3.2,9.2,0.347826087,7.5,15.9,0.471698113,0.486055777,4.4,6,0.733333333,0.9,7.7,8.6,7.9,2.6,0.5,3.5,3.1,28.8,104,105
MIA,39,4,7,15.2,0.460526316,3,8.6,0.348837209,4,6.6,0.606060606,0.559210526,4.1,5,0.82,1.9,8.2,10.1,3.8,1.4,1,3.1,4.9,21.2,114,108
CLE,19,3,7.3,17.2,0.424418605,2.6,7.6,0.342105263,4.7,9.6,0.489583333,0.5,2.9,3.7,0.783783784,0.9,6.3,7.3,4,1.2,0.2,2.3,4,20.1,106,118
WAS,32,3,8.3,19.1,0.434554974,2.6,8.3,0.313253012,5.7,10.9,0.52293578,0.502617801,4.3,5.3,0.811320755,1.5,6.6,8.1,1.3,1.7,1.3,1.9,4.5,23.4,105,113
PHO,19,3,9.8,21.7,0.451612903,2.7,8.3,0.325301205,7.1,13.4,0.529850746,0.513824885,4.9,6.4,0.765625,1.9,6,7.9,2.6,2.3,1.6,3,4.5,27.3,105,113
DET,41,5,4.8,10.8,0.444444444,0,0.2,0,4.8,10.6,0.452830189,0.444444444,5.4,7,0.771428571,5.6,9.3,14.9,5.1,1.7,1,3.2,8.5,15,114,107
CHI,22,4,10.2,21.6,0.472222222,1.7,5.3,0.320754717,8.5,16.3,0.521472393,0.511574074,3.7,5,0.74,1.9,9.3,11.2,3.9,1.1,0.7,3.9,4,25.9,100,113
WAS,32,4,10.3,19.8,0.52020202,1.7,5.6,0.303571429,8.7,14.2,0.612676056,0.563131313,3.6,5.3,0.679245283,2.6,9.9,12.5,4.7,1.6,1.1,4.7,4,26,105,112
CHO,39,1,10.3,22.4,0.459821429,0.6,2.5,0.24,9.7,20,0.485,0.473214286,4.4,6,0.733333333,0.7,3.3,4,10,1,0.3,3.6,2.6,25.7,106,117
MEM,33,3,6.8,18.2,0.373626374,2.9,9.4,0.308510638,3.9,8.8,0.443181818,0.453296703,2.2,2.5,0.88,0.4,6.6,7,4.3,1.9,0.5,3.2,4.5,18.7,91,109
OKC,49,4,4.4,11.9,0.369747899,2.5,7.4,0.337837838,2,4.4,0.454545455,0.474789916,1,1.6,0.625,2.3,5.7,8,1.7,0.9,0.7,1.2,2.5,12.4,106,110
PHI,51,5,4.5,15.7,0.286624204,0,4.5,0,4.5,11.2,0.401785714,0.286624204,2.2,4.5,0.488888889,4.5,9,13.5,6.7,4.5,0,0,11.2,11.2,99,103
HOU,53,1,8,19,0.421052632,3.4,9.4,0.361702128,4.6,9.6,0.479166667,0.510526316,4.6,5.4,0.851851852,1,6,7,12.5,3,0.5,4,3.9,23.9,118,109
CHI,22,1,6.2,15.2,0.407894737,1.4,5.3,0.264150943,4.8,9.9,0.484848485,0.453947368,2,2.3,0.869565217,0.9,3.9,4.8,7.5,1.8,0.5,3.1,4.4,15.9,99,115
CLE,19,1,7.6,15.5,0.490322581,2.5,7.1,0.352112676,5.1,8.5,0.6,0.570967742,3.1,4.5,0.688888889,0.8,4.5,5.4,6.5,2.3,0.8,3.1,4.2,20.9,114,116
NOP,33,1,6.7,15.3,0.437908497,1.2,3.9,0.307692308,5.4,11.4,0.473684211,0.477124183,2,2.8,0.714285714,1.8,6.4,8.2,11.9,1.6,0.6,4.2,3,16.6,106,113
WAS,32,1,14.8,23.7,0.624472574,3,5.9,0.508474576,11.8,17.8,0.662921348,0.687763713,0,0,0,3,3,5.9,11.8,8.9,3,3,5.9,32.6,135,97
BRK,42,2,5.6,16.5,0.339393939,2.7,10.4,0.259615385,2.9,6.1,0.475409836,0.421212121,4.3,5,0.86,0.9,7.2,8.1,4.7,1.4,0,4.1,3.4,18.3,94,111
DEN,54,5,7.4,12.5,0.592,0.1,0.3,0.333333333,7.4,12.3,0.601626016,0.596,3.1,5.6,0.553571429,4.7,10.2,14.9,6.9,1.9,2.2,3.6,7.2,18.1,117,105
ATL,29,5,8.5,12.8,0.6640625,0,0,0,8.5,12.8,0.6640625,0.6640625,4.3,8,0.5375,4.3,6.1,10.4,4.5,1.6,1.1,2.7,3.7,21.4,125,114
SAS,48,5,7.2,11.1,0.648648649,0,0,0,7.2,11.1,0.648648649,0.648648649,1.9,3.5,0.542857143,6.8,8.9,15.7,3.6,1.1,2.6,1.8,4.8,16.2,133,108
SAS,48,3,4.9,9.7,0.505154639,1,3,0.333333333,3.8,6.7,0.567164179,0.556701031,5.7,7,0.814285714,1.3,6.4,7.7,4,1.8,0.2,2.2,4,16.4,123,111
WAS,32,3,8,17.6,0.454545455,2.6,7,0.371428571,5.4,10.6,0.509433962,0.528409091,1.9,2.5,0.76,1.6,7.6,9.2,3.2,2.5,0.9,1.6,3.1,20.6,110,111
CHI,22,3,9.6,19.8,0.484848485,3.8,7.9,0.481012658,5.7,11.9,0.478991597,0.580808081,2.9,3.2,0.90625,1.4,6.8,8.2,3.9,1.8,0.9,2.5,2.9,25.8,115,113
CHI,22,4,11.1,24.8,0.447580645,2.5,6.6,0.378787879,8.7,18.2,0.478021978,0.497983871,3.6,4.6,0.782608696,4.2,10.5,14.7,2.6,1,0.7,2.6,5.6,28.3,105,113
WAS,32,4,9.7,22,0.440909091,3,7.3,0.410958904,6.7,14.7,0.455782313,0.509090909,2.3,2.9,0.793103448,3.9,11,14.9,2.7,1.5,0.7,2.8,5.2,24.7,104,112
DAL,33,5,8.5,14.2,0.598591549,1.1,3.7,0.297297297,7.3,10.5,0.695238095,0.637323944,5.7,7.4,0.77027027,4.1,7.9,12,3.3,1.3,1.5,2,5.9,23.8,135,110
TOR,58,2,8.2,17,0.482352941,2.9,7.2,0.402777778,5.3,9.8,0.540816327,0.567647059,2.6,3.2,0.8125,0.7,5.2,5.9,3.9,1.7,0.6,2.8,4.1,22,110,109
ATL,29,4,6.1,12.3,0.495934959,1.4,3.5,0.4,4.7,8.8,0.534090909,0.552845528,2.7,4.4,0.613636364,4.4,7.1,11.5,2.6,0.6,1.5,2,7.1,16.2,117,115
HOU,53,4,49.1,49.1,1,0,0,0,49.1,49.1,1,1,0,0,0,0,0,0,0,0,0,0,0,98.1,200,120
MEM,33,4,8,14.6,0.547945205,0.2,1,0.2,7.8,13.6,0.573529412,0.554794521,3.4,4.8,0.708333333,4.8,9.4,14.2,3.7,1.2,1,2.4,6.2,19.6,117,109
WAS,32,1,5.8,13.8,0.420289855,2.9,7.3,0.397260274,2.9,6.5,0.446153846,0.525362319,2.7,4,0.675,0.6,2.9,3.6,6.2,1.6,0.2,2.7,5.8,17.3,108,117
NOP,33,4,11.9,22.7,0.524229075,1.4,4.1,0.341463415,10.5,18.6,0.564516129,0.555066079,7.4,10.1,0.732673267,3.4,9.8,13.2,4.8,1.1,0.9,4.3,5.1,32.6,113,112
PHI,51,2,9,20.4,0.441176471,4.8,12,0.4,4.2,8.4,0.5,0.558823529,4.5,5.1,0.882352941,0.4,3.3,3.7,4.1,0.6,0.3,2,2.6,27.2,118,115
IND,48,2,5.2,12.5,0.416,2.1,4.2,0.5,3.1,8.3,0.373493976,0.5,0,0,0,2.1,4.2,6.2,3.1,1,0,1,3.1,12.5,107,111
MIN,36,2,6.1,14.4,0.423611111,3.9,9.4,0.414893617,2.2,5,0.44,0.559027778,1.5,1.7,0.882352941,0.7,5,5.7,2.4,1.1,0.4,0.9,4.8,17.6,118,116
MIA,39,2,8.1,19.7,0.411167513,3.2,8.9,0.359550562,5,10.9,0.458715596,0.492385787,3.8,4.4,0.863636364,1,4,5.1,5.7,1.5,0.7,2.2,3.8,23.3,111,110
TOR,58,2,4.2,13.5,0.311111111,3.7,11.6,0.318965517,0.5,1.9,0.263157895,0.448148148,1.9,2.3,0.826086957,0.9,5.1,6,0,0.5,0,3.7,6,14,79,112
WAS,32,2,5.3,13.5,0.392592593,2.3,7.3,0.315068493,3,6.1,0.491803279,0.477777778,1.7,3.2,0.53125,0.7,4.2,4.9,4,1.2,0.7,2.5,5,14.6,95,116
HOU,53,2,5.7,13.8,0.413043478,2.6,8.1,0.320987654,3.1,5.7,0.543859649,0.507246377,0.9,1.8,0.5,0.5,2.8,3.3,4,1.1,0.5,1.2,4.9,14.9,109,115
WAS,32,3,9.5,16,0.59375,0,1,0,9.5,15,0.633333333,0.59375,4.5,7,0.642857143,3,7,10,3,2,3,1,5.5,23.4,127,110
MIA,39,4,5.5,14,0.392857143,3,10.6,0.283018868,2.4,3.3,0.727272727,0.5,1.2,1.8,0.666666667,0.6,5.2,5.8,1.5,1.5,0,1.2,3.3,15.2,102,111
DET,41,3,6,14.2,0.422535211,1.5,5,0.3,4.5,9.2,0.489130435,0.475352113,2.6,3.2,0.8125,1.4,4.4,5.7,1.7,1.1,0.6,1.5,3.6,16,104,112
LAC,48,2,6.5,16.2,0.401234568,2.7,8.4,0.321428571,3.8,7.8,0.487179487,0.484567901,0.9,1.3,0.692307692,0.4,5.6,6,2.8,1.6,0.4,1.9,6.8,16.5,96,112
NYK,17,5,7.2,10.3,0.699029126,0,0,0,7.2,10.3,0.699029126,0.699029126,2.9,4.8,0.604166667,6.3,8.7,15,1.3,1.8,5.7,1.2,7.7,17.2,140,106
LAL,37,1,5.9,14.7,0.401360544,1.7,4.8,0.354166667,4.2,9.9,0.424242424,0.459183673,0.8,1.2,0.666666667,1.2,7.1,8.3,12.5,1.9,0.2,4.3,3.4,14.4,100,110
MIN,36,1,12.5,25.9,0.482625483,1.9,5,0.38,10.6,20.9,0.507177033,0.519305019,4.7,5.5,0.854545455,1.1,3.7,4.8,7.6,1.1,0.4,2.8,2,31.6,114,117
ORL,42,2,10,23.4,0.427350427,4.9,12.9,0.379844961,5.1,10.5,0.485714286,0.532051282,2.9,3.3,0.878787879,0.6,5.8,6.4,3.1,1.6,0.7,2,2.7,27.8,108,109
BOS,49,1,6.9,17.9,0.38547486,3.2,9.1,0.351648352,3.7,8.8,0.420454545,0.474860335,2,2.5,0.8,0.9,7.4,8.3,6.2,1.8,0.6,1.8,2.7,19,106,108
UTA,50,1,7.4,18.4,0.402173913,2,6.4,0.3125,5.4,12,0.45,0.456521739,4.9,5.7,0.859649123,0.8,5.3,6.1,10.5,2.3,0.3,4.5,4.5,21.8,105,107
BRK,42,1,12.8,29.5,0.433898305,4.5,12.3,0.365853659,8.3,17.1,0.485380117,0.510169492,3.1,4,0.775,1,5.1,6.1,10.9,1.9,0.4,4.9,2.7,33.3,107,110
IND,48,5,11,18.6,0.591397849,0.2,0.5,0.4,10.8,18.2,0.593406593,0.596774194,5.5,7.7,0.714285714,5,13.4,18.4,5.6,1.3,0.8,4.3,6.4,27.8,118,104
CHI,22,2,6.3,13.6,0.463235294,2.5,6.6,0.378787879,3.9,7,0.557142857,0.555147059,0.9,1.4,0.642857143,0.7,2.9,3.6,2.3,1.8,0.7,2.7,4.3,16.1,98,115
CHI,22,3,11.1,20.6,0.538834951,1.9,5.3,0.358490566,9.2,15.3,0.60130719,0.584951456,6.5,8,0.8125,1.9,10.3,12.2,1.5,1.5,1.1,1.5,3.1,30.5,123,111
PHI,51,4,5.7,15.7,0.363057325,2.5,8.3,0.301204819,3.2,7.4,0.432432432,0.442675159,3.2,3.6,0.888888889,2.5,7.8,10.3,3.1,0.5,0.4,3,4.7,17.2,99,113
